Variable	Strata	Cases	Participants	log.HR	se.log.HR	P.val	log.HR.bmi	se.log.HR.bmi	P.val.bmi
bmi_r_initial_cat	1	10231	547601	       -.494	       .1882	      .00868	      -.4979	       .1882	     .008155
bmi_r_initial_cat	2	10231	547601	      -.1194	      .04175	     .004245	      -.1292	      .04183	     .002016
bmi_r_initial_cat	3	10231	547601	     -.06634	      .07895	       .4007	     -.08012	      .07903	       .3107
bmi_r_initial_cat	4	10231	547601	      -.2398	       .1389	      .08425	      -.2566	        .139	      .06486
bmi_r_initial_cat	5	10231	547601	     -.04576	       .2062	       .8244	     -.06732	       .2063	       .7442
mena_cat	1	10231	547601	       -.109	      .07243	       .1322	      -.1879	      .07276	     .009806
mena_cat	2	10231	547601	     -.08818	      .04637	      .05719	      -.1506	      .04667	     .001252
mena_cat	3	10231	547601	     -.01658	       .0744	       .8237	     -.05547	      .07447	       .4564
ever_birth_cat	1	10231	547601	      -.1095	      .03954	     .005603	      -.1682	      .03985	   .00002445
ever_birth_cat	2	10231	547601	      .03472	       .0907	       .7019	     -.05493	      .09099	        .546
age_fb_cat	1	10231	547601	     -.09587	      .05479	      .08017	      -.1506	      .05497	     .006137
age_fb_cat	2	10231	547601	     -.09604	      .04446	      .03076	      -.1573	      .04478	    .0004422
age_fb_cat	3	10231	547601	      -.2947	        .107	     .005876	      -.3503	       .1072	     .001082
parity_cat_qc	1	10231	547601	       -.252	      .08527	     .003118	      -.3105	      .08547	    .0002802
parity_cat_qc	2	10231	547601	     -.07627	      .05608	       .1739	      -.1345	      .05632	      .01695
parity_cat_qc	3	10231	547601	     -.06086	      .07306	       .4049	      -.1203	      .07327	       .1005
fam_bc_r	1	10231	547601	      -.1362	      .07174	      .05757	      -.2154	      .07208	     .002799
fam_bc_r	2	10231	547601	     -.07695	      .04424	        .082	       -.146	       .0446	     .001064
oc_ever_cat	1	10231	547601	     -.05495	      .04065	       .1765	      -.1226	      .04104	     .002821
oc_ever_cat	2	10231	547601	       -.159	      .06906	      .02132	       -.206	       .0692	     .002912
smoke_ever_r_impute	1	10231	547601	      -.1172	      .05447	      .03146	      -.1731	      .05467	     .001545
smoke_ever_r_impute	2	10231	547601	     -.05832	      .04497	       .1946	      -.1239	      .04532	     .006274
ethnic_cat	1	10231	547601	      .06715	       .1218	       .5816	    -.001003	       .1219	       .9934
ethnic_cat	2	10231	547601	      -.2342	       .2535	       .3554	      -.2445	       .2531	       .3339
ethnic_cat	3	10231	547601	     -.08081	      .04248	      .05712	      -.1613	        .043	    .0001764
