Variable	Strata	Cases	Participants
bmi_r_initial_cat	1	323	14327
bmi_r_initial_cat	2	6977	342377
bmi_r_initial_cat	3	1972	123683
bmi_r_initial_cat	4	657	43426
bmi_r_initial_cat	5	302	23788
mena_cat	1	2273	114826
mena_cat	2	5614	292018
mena_cat	3	2148	128555
ever_birth_cat	1	7819	424600
ever_birth_cat	2	1404	102331
age_fb_cat	1	2719	177043
age_fb_cat	2	4552	223267
age_fb_cat	3	548	24290
parity_cat_qc	1	1668	126621
parity_cat_qc	2	3909	207203
parity_cat_qc	3	2242	127661
fam_bc_r	1	2328	74769
fam_bc_r	2	6132	366486
oc_ever_cat	1	7362	419383
oc_ever_cat	2	2449	138094
smoke_ever_r_impute	1	4003	210431
smoke_ever_r_impute	2	5995	323624
ethnic_cat	1	811	43355
ethnic_cat	2	185	14287
ethnic_cat	3	6678	327711
